"recipient","pic_seen","site_duration","spend","register"
708,"Racers in Action",21.8,14.6,0
709,"Racers in Action",21.7,15.8,1
710,"Racers in Action",23.2,17.8,0
711,"Starting Line",29.71,16.2,0
712,"Racers in Action",21.8,16.4,1
713,"Sharp Turn",10.4,15.22,1
714,"Racers in Action",26.1,17.1,1
715,"Starting Line",29.51,14.6,0
716,"Racers in Action",25,16.5,1
717,"Starting Line",16.31,14.4,1
718,"Starting Line",18.61,15.5,1
719,"Racers in Action",23.1,16.3,0
720,"Racers in Action",22.3,16.6,0
721,"Starting Line",32.91,13.7,1
722,"Starting Line",17.71,14,0
723,"Racers in Action",24.8,17.5,0
724,"Sharp Turn",11,17.82,0
725,"Racers in Action",21.6,16.8,0
726,"Starting Line",24.31,12.8,1
727,"Sharp Turn",10.8,13.42,0
728,"Racers in Action",23.8,17.6,0
729,"Sharp Turn",11,21.82,0
730,"Starting Line",30.31,15.5,0
731,"Sharp Turn",10.2,15.92,0
732,"Sharp Turn",11,17.22,0
733,"Racers in Action",24.4,18.4,0
734,"Sharp Turn",11.8,27.12,1
735,"Sharp Turn",11,21.92,0
736,"Starting Line",25.81,13.8,0
737,"Sharp Turn",10.7,18.02,0
738,"Starting Line",26.21,16,0
739,"Racers in Action",16.8,18,1
740,"Starting Line",22.21,17.5,0
741,"Starting Line",26.21,14.3,1
742,"Sharp Turn",11.2,17.62,1
743,"Racers in Action",22.7,18.1,0
744,"Sharp Turn",11,20.32,0
745,"Starting Line",19.61,17.3,1
746,"Sharp Turn",12.2,20.42,1
747,"Starting Line",22.21,16.5,0
748,"Sharp Turn",10.8,16.82,1
749,"Sharp Turn",11,18.52,0
750,"Sharp Turn",10.6,18.62,1
751,"Starting Line",18.11,13.8,1
752,"Racers in Action",19.1,16.4,0
753,"Starting Line",21.71,14.8,0
754,"Sharp Turn",11.1,22.82,0
755,"Starting Line",24.61,12.6,1
756,"Racers in Action",23.6,17.3,0
757,"Sharp Turn",11.5,17.72,0
758,"Starting Line",32.31,12.8,0
759,"Starting Line",24.61,11.7,0
760,"Sharp Turn",10.1,18.32,1
761,"Sharp Turn",10.9,20.02,0
762,"Racers in Action",23.4,17.4,0
763,"Sharp Turn",11.2,18.92,1
764,"Racers in Action",21.8,17.5,1
765,"Sharp Turn",11.1,14.42,1
766,"Racers in Action",20.5,15.6,1
767,"Starting Line",27.81,12.4,1
768,"Racers in Action",22.5,18,1
769,"Starting Line",29.51,14.9,1
770,"Sharp Turn",10.9,18.02,0
771,"Starting Line",17.61,13.7,1
772,"Starting Line",24.01,12,1
773,"Sharp Turn",11.7,22.72,0
774,"Starting Line",27.41,16.7,0
775,"Starting Line",29.61,15.3,0
776,"Starting Line",20.01,17.8,0
777,"Sharp Turn",10.8,18.32,0
778,"Starting Line",26.81,11.9,0
779,"Starting Line",23.31,11.3,0
780,"Starting Line",19.61,11.9,0
781,"Starting Line",28.61,16.4,0
782,"Starting Line",22.71,8.5,0
783,"Starting Line",22.61,13.1,0
784,"Racers in Action",23.7,17.3,1
785,"Starting Line",28.41,13,0
786,"Racers in Action",21.2,16.6,0
787,"Sharp Turn",11,18.32,1
788,"Racers in Action",19.4,16.5,0
789,"Racers in Action",25.9,16.7,1
790,"Sharp Turn",10.8,22.32,0
791,"Starting Line",25.31,12.2,0
792,"Starting Line",22.71,13.8,1
793,"Racers in Action",25.4,16.3,1
794,"Racers in Action",25.1,16.6,1
795,"Sharp Turn",10.6,22.82,0
796,"Starting Line",20.51,16.4,0
797,"Starting Line",23.81,14.8,0
798,"Starting Line",27.71,16.1,0
799,"Sharp Turn",10.3,15.92,1
800,"Sharp Turn",10.9,19.22,0
801,"Starting Line",21.41,10.7,0
802,"Starting Line",25.41,13.8,0
803,"Starting Line",22.41,17.4,0
804,"Starting Line",27.11,13.1,0
805,"Sharp Turn",10.9,23.82,1
806,"Starting Line",24.81,12.3,0
807,"Sharp Turn",11.3,18.12,0
808,"Sharp Turn",10.6,18.32,0
809,"Sharp Turn",10.4,17.92,1
810,"Sharp Turn",11.3,18.92,1
811,"Racers in Action",26.3,16.3,0
812,"Starting Line",20.61,14.6,1
813,"Racers in Action",26.3,15.7,0
814,"Racers in Action",24.7,16.6,1
815,"Starting Line",21.51,18.3,0
816,"Racers in Action",23.1,17.7,1
817,"Sharp Turn",11.1,20.62,0
818,"Sharp Turn",11.1,23.32,0
819,"Starting Line",27.31,13.5,1
820,"Racers in Action",24.2,16.7,0
821,"Sharp Turn",10.7,17.42,0
822,"Racers in Action",21.6,17.6,1
823,"Sharp Turn",10.5,16.92,1
824,"Racers in Action",20.7,17.1,1
825,"Starting Line",20.71,11,1
826,"Sharp Turn",10.9,14.32,0
827,"Sharp Turn",11.1,19.72,0
828,"Sharp Turn",11.3,19.72,0
829,"Sharp Turn",11.2,22.92,0
830,"Sharp Turn",11.7,20.72,0
831,"Starting Line",22.11,11.5,0
832,"Racers in Action",24.3,16.6,1
833,"Starting Line",25.21,16.6,0
834,"Racers in Action",19.6,17.9,0
835,"Starting Line",21.81,14.2,0
836,"Racers in Action",18,16.3,0
837,"Starting Line",25.11,9.8,0
838,"Starting Line",25.31,14.4,0
839,"Sharp Turn",10,23.22,0
840,"Racers in Action",26.7,17.1,0
841,"Racers in Action",22.9,17.4,0
842,"Sharp Turn",11.6,20.92,1
843,"Sharp Turn",11.3,17.52,0
844,"Starting Line",29.21,16.9,1
845,"Starting Line",24.61,13.9,0
846,"Racers in Action",18.8,17.8,1
847,"Starting Line",37.71,17,0
848,"Starting Line",17.71,10.7,0
849,"Starting Line",25.01,11.9,0
850,"Sharp Turn",10.8,17.62,1
851,"Sharp Turn",9.6,18.02,0
852,"Sharp Turn",10.8,15.22,0
853,"Racers in Action",23,16.9,1
854,"Racers in Action",25.2,16.5,0
855,"Sharp Turn",11.5,17.22,0
856,"Starting Line",28.01,15.5,1
857,"Sharp Turn",11.1,16.62,0
858,"Sharp Turn",10.8,19.12,0
859,"Sharp Turn",10.9,18.32,0
860,"Starting Line",20.61,13.9,1
861,"Starting Line",26.51,14.6,1
862,"Sharp Turn",10.1,15.52,1
863,"Racers in Action",23.7,17.4,1
864,"Starting Line",24.41,9.8,0
865,"Racers in Action",22,15.2,0
866,"Racers in Action",24.8,15.9,0
867,"Sharp Turn",10.5,20.22,1
868,"Sharp Turn",11,19.02,0
869,"Sharp Turn",11.4,25.62,0
870,"Sharp Turn",11.6,17.72,1
871,"Sharp Turn",11,20.02,1
872,"Starting Line",25.81,11.9,1
873,"Starting Line",20.41,15.9,0
874,"Racers in Action",24.8,16.8,0
875,"Starting Line",26.51,12,0
876,"Starting Line",18.51,14.3,0
877,"Sharp Turn",10.9,20.42,0
878,"Sharp Turn",10.2,18.92,0
879,"Racers in Action",22.8,16.6,1
880,"Sharp Turn",11.6,17.12,0
881,"Starting Line",21.71,11.3,0
882,"Sharp Turn",10.2,20.72,0
883,"Racers in Action",21.4,15.2,1
884,"Starting Line",21.11,12.2,0
885,"Sharp Turn",10.7,18.12,0
886,"Sharp Turn",10.6,15.92,0
887,"Sharp Turn",11.5,19.42,0
888,"Starting Line",22.21,17.8,1
889,"Sharp Turn",10.7,18.72,0
890,"Racers in Action",25.2,17.8,1
891,"Starting Line",20.41,14.1,1
892,"Racers in Action",23.3,16.3,0
893,"Sharp Turn",10.9,15.22,1
894,"Starting Line",23.31,10.8,1
895,"Sharp Turn",11.7,17.12,1
896,"Sharp Turn",10.1,20.72,0
897,"Sharp Turn",10.5,20.22,1
898,"Racers in Action",20.8,16.2,0
899,"Starting Line",28.41,13.2,0
900,"Racers in Action",23.1,17,1
901,"Starting Line",19.41,18.2,0
902,"Sharp Turn",12,14.32,1
903,"Sharp Turn",11.1,15.12,0
904,"Racers in Action",24.3,17.6,0
905,"Racers in Action",22.8,17.6,1
906,"Starting Line",25.91,13.7,1
907,"Racers in Action",21.7,16.9,0
908,"Racers in Action",19.4,16.8,1
909,"Racers in Action",21.5,16.2,1
910,"Racers in Action",21.4,15.2,1
911,"Racers in Action",24.7,16.7,1
912,"Sharp Turn",11.3,20.02,0
913,"Sharp Turn",10.7,20.12,0
914,"Sharp Turn",11.9,16.12,0
915,"Starting Line",17.41,14.8,1
916,"Starting Line",28.11,16.6,0
917,"Starting Line",22.71,12.4,0
918,"Starting Line",24.41,14.5,0
919,"Sharp Turn",12.4,18.22,0
920,"Starting Line",29.81,14.7,0
921,"Racers in Action",26.2,18.1,0
922,"Starting Line",26.41,16.9,0
923,"Racers in Action",21.6,16.9,0
924,"Racers in Action",21,16.5,0
925,"Starting Line",24.51,11.5,1
926,"Racers in Action",25.1,16.8,0
927,"Racers in Action",24.6,18.4,1
928,"Sharp Turn",11.1,22.52,0
929,"Sharp Turn",11.2,18.62,0
930,"Starting Line",21.01,16.7,0
931,"Sharp Turn",10.8,17.32,1
932,"Starting Line",22.81,14.6,1
933,"Racers in Action",24.5,16.3,1
934,"Starting Line",25.91,16.4,0
935,"Racers in Action",24.5,17.1,1
936,"Racers in Action",22.9,18.2,0
937,"Racers in Action",22.3,16.4,0
938,"Sharp Turn",10,21.42,0
939,"Starting Line",28.31,15,0
940,"Sharp Turn",10.9,21.72,0
941,"Sharp Turn",10.4,19.92,0
942,"Racers in Action",22.2,15.4,1
943,"Starting Line",22.81,14.2,1
944,"Racers in Action",20.7,17.7,0
945,"Racers in Action",26.6,17.6,0
946,"Racers in Action",21.7,16.2,1
947,"Racers in Action",20,16.4,1
948,"Starting Line",20.31,15.5,0
949,"Racers in Action",23.3,17.1,0
950,"Starting Line",23.81,12.4,0
951,"Starting Line",23.81,13.4,1
952,"Starting Line",18.81,13.7,0
953,"Starting Line",21.11,16.2,0
954,"Starting Line",20.51,12.1,0
955,"Racers in Action",21.7,16.9,0
956,"Racers in Action",22.1,16.3,0
957,"Sharp Turn",10.6,15.32,0
958,"Racers in Action",20.1,16.2,0
959,"Racers in Action",25.4,17.8,0
960,"Starting Line",30.61,10.9,1
961,"Starting Line",21.71,12.9,1
962,"Sharp Turn",11.8,20.02,1
963,"Sharp Turn",11.2,14.82,0
964,"Racers in Action",19.8,16.5,1
965,"Racers in Action",22.8,16.8,1
966,"Racers in Action",21.1,17.4,1
967,"Starting Line",29.91,15.1,0
968,"Sharp Turn",11.8,18.92,1
969,"Racers in Action",21,17.3,0
970,"Sharp Turn",11.6,18.82,0
971,"Starting Line",26.21,18.6,1
972,"Sharp Turn",10.8,16.42,0
973,"Sharp Turn",10.5,17.52,1
974,"Starting Line",18.71,15,0
975,"Starting Line",28.41,13.2,1
976,"Starting Line",24.01,15.3,0
977,"Racers in Action",24.1,16.5,0
978,"Racers in Action",20.5,17.4,0
979,"Sharp Turn",12.1,18.82,0
980,"Starting Line",14.91,14.5,0
981,"Starting Line",27.31,19.1,1
982,"Racers in Action",24.2,15.7,0
983,"Racers in Action",24.8,14.6,0
984,"Starting Line",23.61,15.9,0
985,"Sharp Turn",10.7,20.92,0
986,"Sharp Turn",11.7,21.12,1
987,"Racers in Action",23.6,16.8,0
988,"Sharp Turn",10.1,20.22,1
989,"Racers in Action",23.9,15.6,0
990,"Sharp Turn",10.4,20.72,0
991,"Starting Line",23.01,15.9,1
992,"Starting Line",27.41,12.1,0
993,"Sharp Turn",10.8,17.02,1
994,"Starting Line",22.11,15.9,1
995,"Starting Line",24.61,12.5,1
996,"Sharp Turn",11.3,19.32,0
997,"Starting Line",25.91,17.1,1
998,"Starting Line",23.91,16.2,0
999,"Starting Line",26.91,13.8,1
1000,"Starting Line",21.61,13,1
1001,"Starting Line",20.61,13.5,1
1002,"Sharp Turn",10.8,20.42,0
1003,"Racers in Action",20.7,16.2,1
1004,"Starting Line",26.21,14.9,1
1005,"Racers in Action",22.4,16.7,0
1006,"Starting Line",29.01,16.5,0
1007,"Starting Line",22.21,9.2,1
1008,"Starting Line",25.51,11.1,0
1009,"Racers in Action",25.8,16.5,0
1010,"Starting Line",30.71,10.9,0
1011,"Sharp Turn",10.5,21.82,0
1012,"Starting Line",27.01,14.3,0
1013,"Racers in Action",21.5,14.9,1
1014,"Racers in Action",24.5,16.3,0
1015,"Starting Line",21.41,11.8,0
1016,"Racers in Action",26.6,14.8,0
1017,"Sharp Turn",11.2,21.02,0
1018,"Starting Line",35.81,19.5,1
1019,"Sharp Turn",11.1,16.92,1
1020,"Starting Line",30.01,14.2,1
1021,"Starting Line",28.01,12.5,1
1022,"Racers in Action",23.3,16.4,0
1023,"Sharp Turn",10,21.02,1
1024,"Sharp Turn",10.4,16.82,0
1025,"Racers in Action",21.6,17.3,0
1026,"Racers in Action",21.5,17.1,0
1027,"Racers in Action",24.3,16.6,0
1028,"Sharp Turn",11.8,19.22,0
1029,"Starting Line",19.91,19.4,0
1030,"Starting Line",29.71,14.8,0
1031,"Starting Line",29.71,17.1,1
1032,"Starting Line",24.81,13.2,1
1033,"Sharp Turn",11.5,17.82,1
1034,"Starting Line",25.91,12.4,0
1035,"Sharp Turn",11.2,16.32,0
1036,"Sharp Turn",11.3,15.62,1
1037,"Racers in Action",20.2,16,1
1038,"Starting Line",27.11,9.8,1
1039,"Starting Line",19.41,16.4,0
1040,"Racers in Action",24.3,17.8,1
1041,"Racers in Action",22.5,17.9,1
1042,"Racers in Action",23.3,17.4,0
1043,"Starting Line",25.81,13.6,0
1044,"Sharp Turn",10.2,18.22,0
1045,"Starting Line",23.81,14.8,0
1046,"Starting Line",26.41,13.4,0
1047,"Racers in Action",22.2,15.5,1
1048,"Racers in Action",22.4,16.7,0
1049,"Racers in Action",22.5,15.5,0
1050,"Racers in Action",23.5,15.6,0
1051,"Sharp Turn",10.9,16.02,0
1052,"Racers in Action",20.5,16.2,1
1053,"Racers in Action",22.5,17.5,1
1054,"Starting Line",26.51,13.6,0
1055,"Starting Line",25.71,11.9,0
1056,"Racers in Action",24.2,18.5,0
1057,"Sharp Turn",11.3,18.12,1
1058,"Racers in Action",18.9,18.3,1
1059,"Starting Line",23.41,14.4,0
1060,"Sharp Turn",11.1,15.32,0
1061,"Starting Line",28.31,15.2,0
1062,"Starting Line",28.71,13.4,0
1063,"Starting Line",30.41,13.6,0
1064,"Starting Line",21.11,14.8,0
1065,"Racers in Action",24.4,16.8,0
1066,"Starting Line",26.81,16.6,0
1067,"Sharp Turn",11.4,20.72,1
1068,"Racers in Action",21.3,17.7,0
1069,"Racers in Action",24.8,17.3,1
1070,"Starting Line",18.41,14.9,0
1071,"Sharp Turn",11.9,24.22,0
1072,"Starting Line",21.01,13.6,0
1073,"Racers in Action",25.6,15.3,0
1074,"Sharp Turn",11.8,16.72,0
1075,"Sharp Turn",10.8,20.42,0
1076,"Racers in Action",17.1,16.8,1
1077,"Sharp Turn",11.2,15.52,0
1078,"Sharp Turn",11.1,17.82,0
1079,"Racers in Action",23.5,16.4,0
1080,"Starting Line",19.51,15.7,1
1081,"Racers in Action",25.3,16.9,1
1082,"Starting Line",27.31,10.7,0
1083,"Starting Line",26.01,11,0
1084,"Sharp Turn",9.9,20.22,1
1085,"Racers in Action",19.3,16.2,1
1086,"Starting Line",20.51,11.7,1
1087,"Racers in Action",22.2,17.7,0
1088,"Starting Line",26.61,15.5,0
1089,"Racers in Action",24.8,16.6,0
1090,"Starting Line",25.61,18,0
1091,"Racers in Action",24.6,17.8,0
1092,"Starting Line",25.21,15.4,0
1093,"Racers in Action",24.4,16.8,0
1094,"Racers in Action",24.3,17.8,1
1095,"Racers in Action",18.9,15.8,0
1096,"Sharp Turn",11.5,19.82,1
1097,"Starting Line",23.81,12.8,1
1098,"Starting Line",19.61,14.2,0
1099,"Sharp Turn",9.9,14.22,0
1100,"Sharp Turn",10.9,21.82,0
1101,"Sharp Turn",10.3,19.72,0
1102,"Sharp Turn",11.2,17.12,0
1103,"Starting Line",24.31,13.5,0
1104,"Sharp Turn",11.9,22.62,1
1105,"Racers in Action",27.2,15.6,1
1106,"Starting Line",27.01,13.9,0
1107,"Sharp Turn",11.6,16.62,1
1108,"Starting Line",22.91,12.3,0
1109,"Sharp Turn",11.1,22.42,1
1110,"Racers in Action",21.4,16.2,0
1111,"Starting Line",26.21,13.9,0
1112,"Racers in Action",21.7,17.5,0
1113,"Starting Line",22.71,10.7,0
1114,"Racers in Action",24.2,17,1
1115,"Starting Line",24.31,17.7,0
1116,"Sharp Turn",11.4,19.52,0
1117,"Starting Line",18.11,16.4,0
1118,"Starting Line",25.61,12.1,0
1119,"Sharp Turn",10.8,21.52,0
1120,"Starting Line",27.51,15.3,0
1121,"Starting Line",31.01,11.8,0
1122,"Sharp Turn",11.3,15.12,0
1123,"Starting Line",24.01,12.7,0
1124,"Sharp Turn",10.5,21.12,0
1125,"Sharp Turn",11.1,21.52,1
1126,"Racers in Action",25.3,16.9,1
1127,"Starting Line",21.81,12.5,0
1128,"Starting Line",25.01,11.7,1
1129,"Sharp Turn",10,18.92,1
1130,"Racers in Action",24.9,15.2,0
1131,"Starting Line",24.41,13.9,1
1132,"Racers in Action",21.8,18.1,0
1133,"Starting Line",29.11,13,0
1134,"Starting Line",19.91,18.1,1
1135,"Starting Line",24.71,15.6,1
1136,"Starting Line",22.31,15.1,1
1137,"Racers in Action",26.3,15.1,0
1138,"Sharp Turn",10.8,19.92,1
1139,"Racers in Action",20.8,16.5,1
1140,"Racers in Action",22.4,16.4,1
1141,"Starting Line",23.81,16.4,0
1142,"Sharp Turn",11.6,22.82,0
1143,"Racers in Action",24.7,16.8,0
1144,"Racers in Action",22,17.4,0
1145,"Racers in Action",24.9,17,0
1146,"Starting Line",18.81,11.4,0
1147,"Racers in Action",25.5,17.8,1
1148,"Sharp Turn",10.7,19.12,0
1149,"Starting Line",22.41,12.1,0
1150,"Sharp Turn",12,19.12,0
1151,"Racers in Action",24.6,17.2,0
1152,"Starting Line",22.61,15.1,0
1153,"Sharp Turn",11.2,10.42,0
1154,"Sharp Turn",11.1,19.42,0
1155,"Sharp Turn",11,22.92,0
1156,"Sharp Turn",11.7,21.92,1
1157,"Sharp Turn",11,18.02,1
1158,"Sharp Turn",11.3,16.52,1
1159,"Sharp Turn",11,18.32,1
1160,"Racers in Action",23.5,17.3,1
1161,"Starting Line",27.61,12.7,0
1162,"Racers in Action",23.1,17.2,1
1163,"Sharp Turn",11.1,17.32,0
1164,"Racers in Action",19.9,16.2,0
1165,"Racers in Action",22.1,15.7,0
1166,"Racers in Action",24.7,14.6,0
1167,"Racers in Action",25.4,16.2,0
1168,"Sharp Turn",11,17.02,1
1169,"Starting Line",22.91,16.1,1
1170,"Starting Line",29.21,11.9,1
1171,"Racers in Action",20.5,16.7,1
1172,"Starting Line",27.71,15.4,0
1173,"Racers in Action",26.9,17.6,0
1174,"Sharp Turn",10.8,16.72,0
1175,"Sharp Turn",11,18.92,0
1176,"Sharp Turn",11.3,20.62,0
1177,"Starting Line",32.81,11,0
1178,"Racers in Action",19.5,17.6,0
1179,"Racers in Action",24.7,16.6,0
1180,"Sharp Turn",12.1,20.62,1
1181,"Racers in Action",21.1,17.4,1
1182,"Racers in Action",21.4,17.9,0
1183,"Sharp Turn",12,17.02,0
1184,"Starting Line",25.41,17,1
1185,"Racers in Action",24.4,17.8,1
1186,"Sharp Turn",10.9,21.02,0
1187,"Racers in Action",20,17.1,0
1188,"Starting Line",20.81,13.2,0
1189,"Starting Line",23.71,17.1,0
1190,"Starting Line",19.81,13,0
1191,"Racers in Action",21,17.4,1
1192,"Sharp Turn",11.1,19.32,0
1193,"Starting Line",23.81,14.3,1
1194,"Starting Line",23.71,15.5,0
1195,"Starting Line",24.21,17.7,0
1196,"Racers in Action",21.9,17.8,0
1197,"Starting Line",21.61,14.2,0
1198,"Starting Line",21.01,17.3,0
1199,"Sharp Turn",11,18.22,0
1200,"Sharp Turn",10.6,19.02,0
1201,"Racers in Action",19.7,17.3,1
1202,"Racers in Action",22,16.7,1
1203,"Racers in Action",22.3,14.9,1
1204,"Sharp Turn",10.7,20.32,1
1205,"Sharp Turn",10.7,17.22,0
1206,"Starting Line",22.11,15,0
1207,"Starting Line",22.61,10.7,0
1208,"Racers in Action",22.7,16.7,1
1209,"Racers in Action",20.3,17.7,0
1210,"Starting Line",17.31,14.7,0
1211,"Sharp Turn",11.3,17.32,1
1212,"Starting Line",17.21,13.7,0
1213,"Sharp Turn",11.1,19.92,0
1214,"Sharp Turn",11.2,13.62,0
1215,"Racers in Action",24.7,17.1,1
1216,"Sharp Turn",11.6,15.52,0
1217,"Starting Line",23.41,10,0
1218,"Starting Line",25.01,20.7,1
1219,"Sharp Turn",11.3,26.02,1
1220,"Racers in Action",22.3,16,0
1221,"Starting Line",14.41,10.6,0
1222,"Starting Line",19.51,14.5,0
1223,"Starting Line",18.31,12.8,1
1224,"Starting Line",19.01,15.1,0
1225,"Starting Line",24.41,14.8,0
1226,"Sharp Turn",10.8,17.92,0
1227,"Sharp Turn",11.5,17.72,0
1228,"Sharp Turn",11.3,22.22,1
1229,"Sharp Turn",10.5,21.22,0
1230,"Sharp Turn",11.4,16.32,0
1231,"Racers in Action",24.9,15.6,0
1232,"Starting Line",20.31,10.7,0
1233,"Racers in Action",24.9,18,0
1234,"Racers in Action",21.9,16.4,0
1235,"Racers in Action",24.5,17.8,0
1236,"Sharp Turn",11.2,20.92,0
1237,"Racers in Action",23.6,17.1,0
1238,"Starting Line",17.51,9.6,0
1239,"Sharp Turn",10.2,18.42,0
1240,"Starting Line",25.11,18,0
1241,"Racers in Action",22.9,16.1,1
1242,"Racers in Action",21.2,14.8,0
1243,"Starting Line",22.91,13.4,0
1244,"Starting Line",25.21,13.9,0
1245,"Racers in Action",23.6,17.5,0
1246,"Starting Line",28.21,14.3,0
1247,"Racers in Action",20.8,16.4,0
1248,"Sharp Turn",11.3,18.82,0
1249,"Starting Line",30.61,11.7,0
1250,"Starting Line",24.51,13.9,1
1251,"Sharp Turn",11.2,12.62,0
1252,"Sharp Turn",11.3,18.82,1
1253,"Racers in Action",24.7,16,0
1254,"Starting Line",26.61,15.5,1
1255,"Racers in Action",23.9,17.4,0
1256,"Sharp Turn",11,16.42,1
1257,"Starting Line",27.51,14.9,1
1258,"Racers in Action",19.6,18,1
1259,"Sharp Turn",10.2,21.72,1
1260,"Racers in Action",26.1,16.4,0
1261,"Sharp Turn",10.7,19.92,0
1262,"Racers in Action",25.4,16.6,0
1263,"Racers in Action",25.4,17.7,0
1264,"Starting Line",25.51,11.1,0
1265,"Starting Line",20.61,16.8,0
1266,"Sharp Turn",10,20.12,0
1267,"Sharp Turn",11,19.32,1
1268,"Sharp Turn",11.5,16.52,0
1269,"Sharp Turn",11.6,18.32,1
1270,"Sharp Turn",10.6,19.32,1
1271,"Sharp Turn",10.7,16.22,0
1272,"Starting Line",23.41,16.3,1
1273,"Starting Line",26.11,14.4,1
1274,"Starting Line",29.01,12.8,1
1275,"Racers in Action",22.7,16.3,0
1276,"Starting Line",30.31,15.3,1
1277,"Racers in Action",22,16.7,0
1278,"Starting Line",26.71,10.2,1
1279,"Sharp Turn",11,16.62,1
1280,"Starting Line",31.41,14.2,0
1281,"Sharp Turn",10.4,20.82,0
1282,"Starting Line",26.51,11.3,0
1283,"Sharp Turn",10.1,20.82,0
1284,"Sharp Turn",10.3,18.92,1
1285,"Starting Line",25.21,12.2,0
1286,"Starting Line",32.31,10.8,1
1287,"Racers in Action",27.9,18.1,0
1288,"Racers in Action",23.6,17.3,0
1289,"Sharp Turn",11.5,18.62,1
1290,"Sharp Turn",11.2,24.32,1
1291,"Starting Line",22.31,13.2,0
1292,"Starting Line",26.71,12.9,0
1293,"Racers in Action",23.6,17.5,0
1294,"Racers in Action",24.3,16.5,0
1295,"Sharp Turn",11.1,17.72,0
1296,"Sharp Turn",10.6,14.32,1
1297,"Sharp Turn",11.7,17.52,0
1298,"Sharp Turn",10.6,25.92,0
1299,"Sharp Turn",10.8,19.82,1
1300,"Starting Line",31.11,14.6,0
1301,"Racers in Action",22.7,17.4,0
1302,"Starting Line",19.61,15.7,0
1303,"Racers in Action",24.5,18,1
1304,"Racers in Action",22.7,16.2,0
1305,"Starting Line",23.61,15.6,0
1306,"Sharp Turn",12,16.22,0
1307,"Starting Line",21.81,17,0
1308,"Racers in Action",19.7,18.1,0
1309,"Starting Line",21.41,14,1
1310,"Racers in Action",18.8,17.8,1
1311,"Starting Line",18.71,14.9,1
1312,"Sharp Turn",11.4,16.72,1
1313,"Racers in Action",22.3,17.7,0
1314,"Sharp Turn",9.9,17.52,1
1315,"Sharp Turn",11.1,20.62,0
1316,"Starting Line",27.01,12.5,0
1317,"Sharp Turn",10.6,21.92,0
1318,"Starting Line",23.51,13.2,0
1319,"Racers in Action",22.8,17.1,1
1320,"Sharp Turn",10,18.62,0
1321,"Sharp Turn",10.8,17.02,1
1322,"Racers in Action",21.2,17.1,0
1323,"Racers in Action",22.4,17.8,0
1324,"Starting Line",29.71,14.2,0
1325,"Racers in Action",21.9,16.5,0
1326,"Sharp Turn",10.5,18.02,1
1327,"Racers in Action",21.4,15,0
1328,"Sharp Turn",10.3,14.52,0
1329,"Sharp Turn",10.3,20.62,1
1330,"Starting Line",20.81,11.7,0
1331,"Starting Line",18.71,11.6,1
1332,"Sharp Turn",10.5,15.12,1
1333,"Racers in Action",22.8,16.3,0
1334,"Starting Line",20.31,12.2,1
1335,"Starting Line",18.51,14.9,0
1336,"Racers in Action",22.1,15.8,0
1337,"Starting Line",38.51,17.8,0
1338,"Sharp Turn",11.4,17.12,0
1339,"Sharp Turn",11.3,19.92,0
1340,"Starting Line",31.61,15.1,0
1341,"Racers in Action",22.9,18.2,0
1342,"Sharp Turn",11.7,21.62,0
1343,"Racers in Action",25.8,17.2,0
1344,"Racers in Action",22.7,16.7,1
1345,"Racers in Action",19.5,15.7,0
1346,"Starting Line",25.01,11.9,1
1347,"Sharp Turn",10.8,15.52,1
1348,"Racers in Action",23,15.3,0
1349,"Starting Line",21.51,13.4,0
1350,"Sharp Turn",10.7,18.32,1
1351,"Starting Line",18.71,13.6,0
1352,"Starting Line",23.61,13.2,0
1353,"Sharp Turn",11.1,17.52,1
1354,"Racers in Action",21.8,15.7,0
1355,"Starting Line",22.91,15.5,0
1356,"Starting Line",32.51,11.6,1
1357,"Racers in Action",22,16.5,0
1358,"Racers in Action",23.9,16.5,0
1359,"Racers in Action",27.7,15.5,1
1360,"Racers in Action",23.1,17.8,0
1361,"Racers in Action",23.6,16.4,1
1362,"Racers in Action",23,17,1
1363,"Starting Line",27.01,13.8,1
1364,"Starting Line",20.81,14,0
1365,"Sharp Turn",12.1,22.22,0
1366,"Starting Line",25.01,10.8,0
1367,"Racers in Action",21.7,17.8,1
1368,"Sharp Turn",10.7,19.52,0
1369,"Racers in Action",25.8,17.9,0
1370,"Starting Line",21.71,12.8,1
1371,"Racers in Action",23.7,16.9,0
1372,"Sharp Turn",10.8,20.72,1
1373,"Starting Line",20.71,13.6,0
1374,"Racers in Action",24,16.8,0
1375,"Starting Line",26.21,13.8,1
1376,"Sharp Turn",10.8,19.62,0
1377,"Sharp Turn",11.4,20.32,0
1378,"Racers in Action",27.1,16.5,0
1379,"Racers in Action",27.7,16.2,0
1380,"Starting Line",21.01,17.3,0
1381,"Sharp Turn",11.3,21.52,1
1382,"Racers in Action",25.4,15,0
1383,"Racers in Action",25.8,15.4,0
1384,"Racers in Action",21.9,15.9,0
1385,"Sharp Turn",10.8,18.02,0
1386,"Starting Line",19.51,13.4,0
1387,"Starting Line",20.31,17.7,0
1388,"Starting Line",23.71,15.7,0
1389,"Racers in Action",23.5,18.1,1
1390,"Racers in Action",19.9,16,0
1391,"Sharp Turn",10.9,17.92,0
1392,"Racers in Action",27,15.1,0
1393,"Racers in Action",24.4,16.7,1
1394,"Starting Line",20.81,14.3,1
1395,"Racers in Action",21.5,18.5,0
