"bundleID","starter","maindishI","maindishII","side","dessert","avg_rating"
257,"Sticky Chicken Tenders","BBQ Chicken","Beef Short Rib","French Fry Platter","Peach Cobbler",4.97
258,"Sticky Chicken Tenders","BBQ Chicken","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",5.45
259,"Sticky Chicken Tenders","BBQ Chicken","Steak Sampler","Mac and Cheese","Peach Cobbler",6.93
260,"Sticky Chicken Tenders","BBQ Chicken","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",9.97
261,"Sticky Chicken Tenders","BBQ Chicken","Steak Sampler","Mashed Potato","Peach Cobbler",5.4
262,"Sticky Chicken Tenders","BBQ Chicken","Steak Sampler","Mashed Potato","Apple Pie a la Mode",4.25
263,"Sticky Chicken Tenders","BBQ Chicken","Steak Sampler","French Fry Platter","Peach Cobbler",6.46
264,"Sticky Chicken Tenders","BBQ Chicken","Steak Sampler","French Fry Platter","Apple Pie a la Mode",8.99
265,"Sticky Chicken Tenders","Pork and Brisket Combo","Sausage","Mac and Cheese","Peach Cobbler",5.84
266,"Sticky Chicken Tenders","Pork and Brisket Combo","Sausage","Mac and Cheese","Apple Pie a la Mode",9.7
267,"Sticky Chicken Tenders","Pork and Brisket Combo","Sausage","Mashed Potato","Peach Cobbler",5.74
268,"Sticky Chicken Tenders","Pork and Brisket Combo","Sausage","Mashed Potato","Apple Pie a la Mode",9.56
269,"Sticky Chicken Tenders","Pork and Brisket Combo","Sausage","French Fry Platter","Peach Cobbler",5.52
270,"Sticky Chicken Tenders","Pork and Brisket Combo","Sausage","French Fry Platter","Apple Pie a la Mode",9.59
271,"Sticky Chicken Tenders","Pork and Brisket Combo","Fajita","Mac and Cheese","Peach Cobbler",8.722
272,"Sticky Chicken Tenders","Pork and Brisket Combo","Fajita","Mac and Cheese","Apple Pie a la Mode",5.872
273,"Sticky Chicken Tenders","Pork and Brisket Combo","Fajita","Mashed Potato","Peach Cobbler",6.182
274,"Sticky Chicken Tenders","Pork and Brisket Combo","Fajita","Mashed Potato","Apple Pie a la Mode",7.852
275,"Sticky Chicken Tenders","Pork and Brisket Combo","Fajita","French Fry Platter","Peach Cobbler",7.232
276,"Sticky Chicken Tenders","Pork and Brisket Combo","Fajita","French Fry Platter","Apple Pie a la Mode",6.742
277,"Sticky Chicken Tenders","Pork and Brisket Combo","Beef Short Rib","Mac and Cheese","Peach Cobbler",4.74
278,"Sticky Chicken Tenders","Pork and Brisket Combo","Beef Short Rib","Mac and Cheese","Apple Pie a la Mode",7.78
279,"Sticky Chicken Tenders","Pork and Brisket Combo","Beef Short Rib","Mashed Potato","Peach Cobbler",9
280,"Sticky Chicken Tenders","Pork and Brisket Combo","Beef Short Rib","Mashed Potato","Apple Pie a la Mode",6.41
281,"Sticky Chicken Tenders","Pork and Brisket Combo","Beef Short Rib","French Fry Platter","Peach Cobbler",7.68
282,"Sticky Chicken Tenders","Pork and Brisket Combo","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",8.51
283,"Sticky Chicken Tenders","Pork and Brisket Combo","Steak Sampler","Mac and Cheese","Peach Cobbler",8.89
284,"Sticky Chicken Tenders","Pork and Brisket Combo","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",9.28
285,"Sticky Chicken Tenders","Pork and Brisket Combo","Steak Sampler","Mashed Potato","Peach Cobbler",7.42
286,"Sticky Chicken Tenders","Pork and Brisket Combo","Steak Sampler","Mashed Potato","Apple Pie a la Mode",5.84
287,"Sticky Chicken Tenders","Pork and Brisket Combo","Steak Sampler","French Fry Platter","Peach Cobbler",8.73
288,"Sticky Chicken Tenders","Pork and Brisket Combo","Steak Sampler","French Fry Platter","Apple Pie a la Mode",8.52
289,"Jumbo Shrimp Cocktail","BBQ Brisket","Sausage","Mac and Cheese","Peach Cobbler",5.18
290,"Jumbo Shrimp Cocktail","BBQ Brisket","Sausage","Mac and Cheese","Apple Pie a la Mode",4.98
291,"Jumbo Shrimp Cocktail","BBQ Brisket","Sausage","Mashed Potato","Peach Cobbler",8.47
292,"Jumbo Shrimp Cocktail","BBQ Brisket","Sausage","Mashed Potato","Apple Pie a la Mode",6.92
293,"Jumbo Shrimp Cocktail","BBQ Brisket","Sausage","French Fry Platter","Peach Cobbler",5.01
294,"Jumbo Shrimp Cocktail","BBQ Brisket","Sausage","French Fry Platter","Apple Pie a la Mode",3.54
295,"Jumbo Shrimp Cocktail","BBQ Brisket","Fajita","Mac and Cheese","Peach Cobbler",7.162
296,"Jumbo Shrimp Cocktail","BBQ Brisket","Fajita","Mac and Cheese","Apple Pie a la Mode",9.432
297,"Jumbo Shrimp Cocktail","BBQ Brisket","Fajita","Mashed Potato","Peach Cobbler",4.592
298,"Jumbo Shrimp Cocktail","BBQ Brisket","Fajita","Mashed Potato","Apple Pie a la Mode",3.692
299,"Jumbo Shrimp Cocktail","BBQ Brisket","Fajita","French Fry Platter","Peach Cobbler",6.932
300,"Jumbo Shrimp Cocktail","BBQ Brisket","Fajita","French Fry Platter","Apple Pie a la Mode",8.172
301,"Jumbo Shrimp Cocktail","BBQ Brisket","Beef Short Rib","Mac and Cheese","Peach Cobbler",5.86
302,"Jumbo Shrimp Cocktail","BBQ Brisket","Beef Short Rib","Mac and Cheese","Apple Pie a la Mode",8.3
303,"Jumbo Shrimp Cocktail","BBQ Brisket","Beef Short Rib","Mashed Potato","Peach Cobbler",9.18
304,"Jumbo Shrimp Cocktail","BBQ Brisket","Beef Short Rib","Mashed Potato","Apple Pie a la Mode",4.29
305,"Jumbo Shrimp Cocktail","BBQ Brisket","Beef Short Rib","French Fry Platter","Peach Cobbler",5.83
306,"Jumbo Shrimp Cocktail","BBQ Brisket","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",5.28
307,"Jumbo Shrimp Cocktail","BBQ Brisket","Steak Sampler","Mac and Cheese","Peach Cobbler",5.26
308,"Jumbo Shrimp Cocktail","BBQ Brisket","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",6.11
309,"Jumbo Shrimp Cocktail","BBQ Brisket","Steak Sampler","Mashed Potato","Peach Cobbler",2.93
310,"Jumbo Shrimp Cocktail","BBQ Brisket","Steak Sampler","Mashed Potato","Apple Pie a la Mode",6.98
311,"Jumbo Shrimp Cocktail","BBQ Brisket","Steak Sampler","French Fry Platter","Peach Cobbler",6.68
312,"Jumbo Shrimp Cocktail","BBQ Brisket","Steak Sampler","French Fry Platter","Apple Pie a la Mode",9.14
313,"Jumbo Shrimp Cocktail","Pulled Pork","Sausage","Mac and Cheese","Peach Cobbler",4.52
314,"Jumbo Shrimp Cocktail","Pulled Pork","Sausage","Mac and Cheese","Apple Pie a la Mode",7.57
315,"Jumbo Shrimp Cocktail","Pulled Pork","Sausage","Mashed Potato","Peach Cobbler",3.08
316,"Jumbo Shrimp Cocktail","Pulled Pork","Sausage","Mashed Potato","Apple Pie a la Mode",7.13
317,"Jumbo Shrimp Cocktail","Pulled Pork","Sausage","French Fry Platter","Peach Cobbler",9.44
318,"Jumbo Shrimp Cocktail","Pulled Pork","Sausage","French Fry Platter","Apple Pie a la Mode",7.24
319,"Jumbo Shrimp Cocktail","Pulled Pork","Fajita","Mac and Cheese","Peach Cobbler",5.202
320,"Jumbo Shrimp Cocktail","Pulled Pork","Fajita","Mac and Cheese","Apple Pie a la Mode",7.892
321,"Jumbo Shrimp Cocktail","Pulled Pork","Fajita","Mashed Potato","Peach Cobbler",5.202
322,"Jumbo Shrimp Cocktail","Pulled Pork","Fajita","Mashed Potato","Apple Pie a la Mode",5.252
323,"Jumbo Shrimp Cocktail","Pulled Pork","Fajita","French Fry Platter","Peach Cobbler",5.492
324,"Jumbo Shrimp Cocktail","Pulled Pork","Fajita","French Fry Platter","Apple Pie a la Mode",5.052
325,"Jumbo Shrimp Cocktail","Pulled Pork","Beef Short Rib","Mac and Cheese","Peach Cobbler",5.48
326,"Jumbo Shrimp Cocktail","Pulled Pork","Beef Short Rib","Mac and Cheese","Apple Pie a la Mode",9.22
327,"Jumbo Shrimp Cocktail","Pulled Pork","Beef Short Rib","Mashed Potato","Peach Cobbler",7.93
328,"Jumbo Shrimp Cocktail","Pulled Pork","Beef Short Rib","Mashed Potato","Apple Pie a la Mode",7.38
329,"Jumbo Shrimp Cocktail","Pulled Pork","Beef Short Rib","French Fry Platter","Peach Cobbler",4.8
330,"Jumbo Shrimp Cocktail","Pulled Pork","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",6.56
331,"Jumbo Shrimp Cocktail","Pulled Pork","Steak Sampler","Mac and Cheese","Peach Cobbler",6.2
332,"Jumbo Shrimp Cocktail","Pulled Pork","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",9.89
333,"Jumbo Shrimp Cocktail","Pulled Pork","Steak Sampler","Mashed Potato","Peach Cobbler",6.12
334,"Jumbo Shrimp Cocktail","Pulled Pork","Steak Sampler","Mashed Potato","Apple Pie a la Mode",5.97
335,"Jumbo Shrimp Cocktail","Pulled Pork","Steak Sampler","French Fry Platter","Peach Cobbler",7.3
336,"Jumbo Shrimp Cocktail","Pulled Pork","Steak Sampler","French Fry Platter","Apple Pie a la Mode",9.61
337,"Jumbo Shrimp Cocktail","BBQ Chicken","Sausage","Mac and Cheese","Peach Cobbler",7.58
338,"Jumbo Shrimp Cocktail","BBQ Chicken","Sausage","Mac and Cheese","Apple Pie a la Mode",6.13
339,"Jumbo Shrimp Cocktail","BBQ Chicken","Sausage","Mashed Potato","Peach Cobbler",5.42
340,"Jumbo Shrimp Cocktail","BBQ Chicken","Sausage","Mashed Potato","Apple Pie a la Mode",7.26
341,"Jumbo Shrimp Cocktail","BBQ Chicken","Sausage","French Fry Platter","Peach Cobbler",7.89
342,"Jumbo Shrimp Cocktail","BBQ Chicken","Sausage","French Fry Platter","Apple Pie a la Mode",5.2
343,"Jumbo Shrimp Cocktail","BBQ Chicken","Fajita","Mac and Cheese","Peach Cobbler",3.302
344,"Jumbo Shrimp Cocktail","BBQ Chicken","Fajita","Mac and Cheese","Apple Pie a la Mode",4.882
345,"Jumbo Shrimp Cocktail","BBQ Chicken","Fajita","Mashed Potato","Peach Cobbler",2.352
346,"Jumbo Shrimp Cocktail","BBQ Chicken","Fajita","Mashed Potato","Apple Pie a la Mode",7.192
347,"Jumbo Shrimp Cocktail","BBQ Chicken","Fajita","French Fry Platter","Peach Cobbler",5.952
348,"Jumbo Shrimp Cocktail","BBQ Chicken","Fajita","French Fry Platter","Apple Pie a la Mode",7.542
349,"Jumbo Shrimp Cocktail","BBQ Chicken","Beef Short Rib","Mac and Cheese","Peach Cobbler",3.91
350,"Jumbo Shrimp Cocktail","BBQ Chicken","Beef Short Rib","Mac and Cheese","Apple Pie a la Mode",9.26
351,"Jumbo Shrimp Cocktail","BBQ Chicken","Beef Short Rib","Mashed Potato","Peach Cobbler",3.39
352,"Jumbo Shrimp Cocktail","BBQ Chicken","Beef Short Rib","Mashed Potato","Apple Pie a la Mode",7.74
353,"Jumbo Shrimp Cocktail","BBQ Chicken","Beef Short Rib","French Fry Platter","Peach Cobbler",6.17
354,"Jumbo Shrimp Cocktail","BBQ Chicken","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",3.5
355,"Jumbo Shrimp Cocktail","BBQ Chicken","Steak Sampler","Mac and Cheese","Peach Cobbler",7.17
356,"Jumbo Shrimp Cocktail","BBQ Chicken","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",8.3
357,"Jumbo Shrimp Cocktail","BBQ Chicken","Steak Sampler","Mashed Potato","Peach Cobbler",8.59
358,"Jumbo Shrimp Cocktail","BBQ Chicken","Steak Sampler","Mashed Potato","Apple Pie a la Mode",8.7
359,"Jumbo Shrimp Cocktail","BBQ Chicken","Steak Sampler","French Fry Platter","Peach Cobbler",7.37
360,"Jumbo Shrimp Cocktail","BBQ Chicken","Steak Sampler","French Fry Platter","Apple Pie a la Mode",4.36
361,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Sausage","Mac and Cheese","Peach Cobbler",8.64
362,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Sausage","Mac and Cheese","Apple Pie a la Mode",8.56
363,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Sausage","Mashed Potato","Peach Cobbler",4.48
364,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Sausage","Mashed Potato","Apple Pie a la Mode",8.69
365,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Sausage","French Fry Platter","Peach Cobbler",6.77
366,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Sausage","French Fry Platter","Apple Pie a la Mode",9.34
367,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Fajita","Mac and Cheese","Peach Cobbler",6.552
368,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Fajita","Mac and Cheese","Apple Pie a la Mode",9.082
369,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Fajita","Mashed Potato","Peach Cobbler",5.962
370,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Fajita","Mashed Potato","Apple Pie a la Mode",5.582
371,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Fajita","French Fry Platter","Peach Cobbler",6.422
372,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Fajita","French Fry Platter","Apple Pie a la Mode",6.902
373,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Beef Short Rib","Mac and Cheese","Peach Cobbler",9.42
374,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Beef Short Rib","Mac and Cheese","Apple Pie a la Mode",7.31
375,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Beef Short Rib","Mashed Potato","Peach Cobbler",8.66
376,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Beef Short Rib","Mashed Potato","Apple Pie a la Mode",8.82
377,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Beef Short Rib","French Fry Platter","Peach Cobbler",8.31
378,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Beef Short Rib","French Fry Platter","Apple Pie a la Mode",6.92
379,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Steak Sampler","Mac and Cheese","Peach Cobbler",7.34
380,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Steak Sampler","Mac and Cheese","Apple Pie a la Mode",5.91
381,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Steak Sampler","Mashed Potato","Peach Cobbler",6.3
382,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Steak Sampler","Mashed Potato","Apple Pie a la Mode",7.65
383,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Steak Sampler","French Fry Platter","Peach Cobbler",8.67
384,"Jumbo Shrimp Cocktail","Pork and Brisket Combo","Steak Sampler","French Fry Platter","Apple Pie a la Mode",8.83
